,site,th,species,FN,FP,below_th,total
347,Comthurey_r500,26,Mbra,0,0,0,0
348,Comthurey_r500,26,Mnat,28,9,0,3033
349,Comthurey_r500,26,Nnoc,0,0,0,0
350,Comthurey_r500,26,Ppip,0,0,0,0
351,Comthurey_r500,26,Paur,1,0,0,37
352,Comthurey_r500,26,Rhin,0,0,0,0
353,Comthurey_r500,27,Bbar,1,12,0,90
354,Comthurey_r500,27,Eser,0,0,0,0
355,Comthurey_r500,27,Mbec,0,0,0,0
356,Comthurey_r500,27,Mdas,0,0,0,0
357,Comthurey_r500,27,Mdau,13,15,0,1085
358,Comthurey_r500,27,Mema,0,0,0,0
359,Comthurey_r500,27,Mmyo,8,10,0,2269
360,Comthurey_r500,27,Mbra,0,0,0,0
361,Comthurey_r500,27,Mnat,26,9,0,3033
362,Comthurey_r500,27,Nnoc,0,0,0,0
363,Comthurey_r500,27,Ppip,0,0,0,0
364,Comthurey_r500,27,Paur,1,0,0,37
365,Comthurey_r500,27,Rhin,0,0,0,0
366,Comthurey_r500,28,Bbar,1,12,0,90
367,Comthurey_r500,28,Eser,0,0,0,0
368,Comthurey_r500,28,Mbec,0,0,0,0
369,Comthurey_r500,28,Mdas,0,0,0,0
370,Comthurey_r500,28,Mdau,12,15,0,1085
371,Comthurey_r500,28,Mema,0,0,0,0
372,Comthurey_r500,28,Mmyo,8,9,0,2269
373,Comthurey_r500,28,Mbra,0,0,0,0
374,Comthurey_r500,28,Mnat,26,9,0,3033
375,Comthurey_r500,28,Nnoc,0,0,0,0
376,Comthurey_r500,28,Ppip,0,0,0,0
377,Comthurey_r500,28,Paur,1,0,0,37
378,Comthurey_r500,28,Rhin,0,0,0,0
379,Comthurey_r500,29,Bbar,1,12,0,90
380,Comthurey_r500,29,Eser,0,0,0,0
381,Comthurey_r500,29,Mbec,0,0,0,0
382,Comthurey_r500,29,Mdas,0,0,0,0
383,Comthurey_r500,29,Mdau,12,15,0,1085
384,Comthurey_r500,29,Mema,0,0,0,0
385,Comthurey_r500,29,Mmyo,8,9,0,2269
386,Comthurey_r500,29,Mbra,0,0,0,0
387,Comthurey_r500,29,Mnat,26,9,0,3033
388,Comthurey_r500,29,Nnoc,0,0,0,0
389,Comthurey_r500,29,Ppip,0,0,0,0
390,Comthurey_r500,29,Paur,1,0,0,37
391,Comthurey_r500,29,Rhin,0,0,0,0
392,Comthurey_r500,30,Bbar,1,11,0,90
393,Comthurey_r500,30,Eser,0,0,0,0
394,Comthurey_r500,30,Mbec,0,0,0,0
395,Comthurey_r500,30,Mdas,0,0,0,0
396,Comthurey_r500,30,Mdau,12,14,0,1085
397,Comthurey_r500,30,Mema,0,0,0,0
398,Comthurey_r500,30,Mmyo,8,9,0,2269
399,Comthurey_r500,30,Mbra,0,0,0,0
400,Comthurey_r500,30,Mnat,24,9,0,3033
401,Comthurey_r500,30,Nnoc,0,0,0,0
402,Comthurey_r500,30,Ppip,0,0,0,0
403,Comthurey_r500,30,Paur,1,0,0,37
404,Comthurey_r500,30,Rhin,0,0,0,0
405,Comthurey_r500,31,Bbar,1,11,0,90
406,Comthurey_r500,31,Eser,0,0,0,0
407,Comthurey_r500,31,Mbec,0,0,0,0
408,Comthurey_r500,31,Mdas,0,0,0,0
409,Comthurey_r500,31,Mdau,12,14,0,1085
410,Comthurey_r500,31,Mema,0,0,0,0
411,Comthurey_r500,31,Mmyo,8,9,0,2269
412,Comthurey_r500,31,Mbra,0,0,0,0
413,Comthurey_r500,31,Mnat,24,9,0,3033
414,Comthurey_r500,31,Nnoc,0,0,0,0
415,Comthurey_r500,31,Ppip,0,0,0,0
416,Comthurey_r500,31,Paur,1,0,0,37
417,Comthurey_r500,31,Rhin,0,0,0,0
418,Comthurey_r500,32,Bbar,1,11,0,90
419,Comthurey_r500,32,Eser,0,0,0,0
420,Comthurey_r500,32,Mbec,0,0,0,0
421,Comthurey_r500,32,Mdas,0,0,0,0
422,Comthurey_r500,32,Mdau,12,14,0,1085
423,Comthurey_r500,32,Mema,0,0,0,0
424,Comthurey_r500,32,Mmyo,8,9,0,2269
425,Comthurey_r500,32,Mbra,0,0,0,0
426,Comthurey_r500,32,Mnat,24,9,0,3033
427,Comthurey_r500,32,Nnoc,0,0,0,0
428,Comthurey_r500,32,Ppip,0,0,0,0
429,Comthurey_r500,32,Paur,1,0,0,37
430,Comthurey_r500,32,Rhin,0,0,0,0
431,Comthurey_r500,33,Bbar,1,11,0,90
432,Comthurey_r500,33,Eser,0,0,0,0
433,Comthurey_r500,33,Mbec,0,0,0,0
434,Comthurey_r500,33,Mdas,0,0,0,0
435,Comthurey_r500,33,Mdau,12,14,0,1085
436,Comthurey_r500,33,Mema,0,0,0,0
437,Comthurey_r500,33,Mmyo,8,9,0,2269
438,Comthurey_r500,33,Mbra,0,0,0,0
439,Comthurey_r500,33,Mnat,24,9,0,3033
440,Comthurey_r500,33,Nnoc,0,0,0,0
441,Comthurey_r500,33,Ppip,0,0,0,0
442,Comthurey_r500,33,Paur,1,0,0,37
443,Comthurey_r500,33,Rhin,0,0,0,0
444,Comthurey_r500,34,Bbar,1,11,0,90
445,Comthurey_r500,34,Eser,0,0,0,0
446,Comthurey_r500,34,Mbec,0,0,0,0
447,Comthurey_r500,34,Mdas,0,0,0,0
448,Comthurey_r500,34,Mdau,12,14,0,1085
449,Comthurey_r500,34,Mema,0,0,0,0
450,Comthurey_r500,34,Mmyo,8,9,0,2269
451,Comthurey_r500,34,Mbra,0,0,0,0
452,Comthurey_r500,34,Mnat,24,9,2,3033
453,Comthurey_r500,34,Nnoc,0,0,0,0
454,Comthurey_r500,34,Ppip,0,0,0,0
455,Comthurey_r500,34,Paur,1,0,0,37
456,Comthurey_r500,34,Rhin,0,0,0,0
457,Comthurey_r500,35,Bbar,1,11,0,90
458,Comthurey_r500,35,Eser,0,0,0,0
459,Comthurey_r500,35,Mbec,0,0,0,0
460,Comthurey_r500,35,Mdas,0,0,0,0
461,Comthurey_r500,35,Mdau,12,14,0,1085
462,Comthurey_r500,35,Mema,0,0,0,0
463,Comthurey_r500,35,Mmyo,8,9,0,2269
464,Comthurey_r500,35,Mbra,0,0,0,0
465,Comthurey_r500,35,Mnat,24,9,3,3033
466,Comthurey_r500,35,Nnoc,0,0,0,0
467,Comthurey_r500,35,Ppip,0,0,0,0
468,Comthurey_r500,35,Paur,1,0,0,37
469,Comthurey_r500,35,Rhin,0,0,0,0
470,Comthurey_r500,36,Bbar,1,11,0,90
471,Comthurey_r500,36,Eser,0,0,0,0
472,Comthurey_r500,36,Mbec,0,0,0,0
473,Comthurey_r500,36,Mdas,0,0,0,0
474,Comthurey_r500,36,Mdau,12,14,0,1085
475,Comthurey_r500,36,Mema,0,0,0,0
476,Comthurey_r500,36,Mmyo,8,9,0,2269
477,Comthurey_r500,36,Mbra,0,0,0,0
478,Comthurey_r500,36,Mnat,24,9,3,3033
479,Comthurey_r500,36,Nnoc,0,0,0,0
480,Comthurey_r500,36,Ppip,0,0,0,0
481,Comthurey_r500,36,Paur,1,0,0,37
482,Comthurey_r500,36,Rhin,0,0,0,0
483,Comthurey_r500,37,Bbar,1,10,0,90
484,Comthurey_r500,37,Eser,0,0,0,0
485,Comthurey_r500,37,Mbec,0,0,0,0
486,Comthurey_r500,37,Mdas,0,0,0,0
487,Comthurey_r500,37,Mdau,12,14,0,1085
488,Comthurey_r500,37,Mema,0,0,0,0
489,Comthurey_r500,37,Mmyo,8,9,0,2269
490,Comthurey_r500,37,Mbra,0,0,0,0
491,Comthurey_r500,37,Mnat,23,9,3,3033
492,Comthurey_r500,37,Nnoc,0,0,0,0
493,Comthurey_r500,37,Ppip,0,0,0,0
494,Comthurey_r500,37,Paur,1,0,0,37
495,Comthurey_r500,37,Rhin,0,0,0,0
496,Comthurey_r500,38,Bbar,1,10,0,90
497,Comthurey_r500,38,Eser,0,0,0,0
498,Comthurey_r500,38,Mbec,0,0,0,0
